project,FesCH,GIS,CDE,TPTL,CFPS,ManualD,LSKDSA,Camargo,journal
ant1_7,0.290,0.336,0.085,0.093,0.480,0.394,0.476,0.292,0.343
poi2_0,0.332,0.364,0.082,0.097,0.369,0.484,0.470,0.487,0.410
camel1_4,0.285,0.298,0.086,0.035,0.057,0.462,0.506,0.182,0.256
ivy2_0,0.279,0.386,0.101,0.121,0.024,0.452,0.511,0.439,0.349
jedit4_0,0.346,0.523,0.154,0.135,0.008,0.420,0.507,0.541,0.330
log1_0,0.297,0.357,0.016,0.082,0.078,0.396,0.468,0.327,0.057
xal2_4,0.364,0.321,0.248,0.030,0.013,0.431,0.487,0.649,0.352
vel1_6,0.245,0.742,0.047,0.305,0.026,0.404,0.512,0.212,0.226
tom6_0,0.296,0.227,0.106,0.051,0.024,0.464,0.504,0.086,0.231
xer1_3,0.180,0.335,0.088,0.109,0.082,0.440,0.464,0.169,0.164
luc2_4,0.180,0.316,0.016,0.234,0.010,0.363,0.480,0.180,0.132
syn1_2,0.443,0.617,0.071,0.243,0.136,0.388,0.473,0.694,0.382
AEEEM_JDT,0.258,0.201,0.190,0.170,0.012,0.425,0.387,0.726,0.491
AEEEM_EQ,0.308,0.285,0.021,0.270,0.000,0.354,0.471,0.190,0.133
AEEEM_LC,0.360,0.315,0.034,0.047,0.000,0.482,0.394,0.396,0.139
AEEEM_ML,0.295,0.178,0.269,0.096,0.016,0.465,0.350,0.559,0.587
AEEEM_PDE,0.483,0.200,0.126,0.077,0.002,0.454,0.403,0.398,0.222
jira_act,0.607,0.130,0.005,0.073,0.000,0.444,0.420,0.225,0.237
jira_der,0.997,0.120,0.020,0.051,0.000,0.447,0.455,0.010,0.043
jira_gro,0.503,0.198,0.043,0.080,0.013,0.471,0.497,0.146,0.141
jira_hba,0.768,0.239,0.097,0.171,0.091,0.419,0.490,0.522,0.428
jira_hiv,0.460,0.101,0.009,0.167,0.007,0.420,0.435,0.031,0.073
jira_jru,0.730,0.193,0.081,0.040,0.009,0.443,0.445,0.283,0.264
jira_wic,0.911,0.143,0.055,0.095,0.024,0.467,0.473,0.884,0.325
,0.426,0.297,0.085,0.120,0.062,0.433,0.462,0.360,0.263
